name,description,url,address,lng,lat
Chase Hall,On-campus Housing,http://www.southernct.edu/student-life/campus-life/residencelife/general-information/residencehalls/chasehall.html,"174 Farnham Avenue, New Haven, CT 06515",-72.95259833,41.33322364
Hickerson Hall,On-campus Housing,http://www.southernct.edu/student-life/campus-life/residencelife/general-information/residencehalls/hickersonhall.html,"100 Wintergreen Avenue, New Haven, CT 06515",-72.95319647,41.33392451
Neff Hall,On-campus Housing,http://www.southernct.edu/student-life/campus-life/residencelife/general-information/residencehalls/neffhall.html,"112 Wintergreen Avenue, New Haven, CT 06515",-72.95373827,41.33397889
West Campus Residence Complex,On-campus Housing,http://www.southernct.edu/student-life/campus-life/residencelife/general-information/residencehalls/westcampus.html,"160 Wintergreen Avenue, New Haven, CT 06515",-72.95348614,41.33458108
Moore Field House,Home of the SCSU Owls!,http://www.southernctowls.com/index.aspx,"100 Wintergreen Avuenue, New Haven, CT 06515",-72.95169711,41.33504026
Jess Dow Field,"Home of our SCSU Owl's Football Field, in addition to many other SCSU Athletic Events!",http://www.southernctowls.com/index.aspx,"100 Wintergreen Avuenue, New Haven, CT 06515",-72.950276,41.336242
North Campus Residence Complex,On-campus Housing,http://www.southernct.edu/student-life/campus-life/residencelife/general-information/residencehalls/northcampusmidrise.html; http://www.southernct.edu/student-life/campus-life/residencelife/general-information/residencehalls/northcampustownhouses.html,"180 Pinerock Avenue, Hamden, CT 06514",-72.947241,41.338007
Game Room,"Billiards, Ping Pong, Foosball Tables, TV's and more!",https://www.southernct.edu/student-life/activities/student-center/facility/plaza-level.html,"501 Crescent Street, New Haven, CT 06515",-72.948984,41.331688
Fireplace Lounge,Located on the 3rd floor of the Student Center!,https://www.southernct.edu/student-life/activities/student-center/facility/3rd-floor.html,"501 Crescent Street, New Haven, CT 06515",-72.948426,41.332413
Lot 8,Parking Lot available to Commuters,https://www.southernct.edu/student-life/safety/parking/index.html/,"180 Farnham Avenue, New Haven, CT 06515",-72.953188,41.329843
Writing & Tutorial Center,,https://www.southernct.edu/student-life/academic-success/,"501 Crescent Street, New Haven, CT 06515",-72.946838,41.332868
Wintergreen Parking Garage,"Parking Lot available to Commuters, Residents, Faculty & Visitors",http://www.southernct.edu/about/construction/garage.html,"510 Crescent Street, New Haven, CT 06515",-72.95368195,41.33589015
Adanti Student Center,"The Adanti Student Center is the focal point of campus organizations and activities. It provides a wide range of services to students, faculty, and staff.",http://www.southernct.edu/student-life/activities/student-center/,,-72.94859648,41.33237875
Academic Science and Laboratory Building,"Situated adjacent to Jennings Hall, the current home for the sciences, the new building enhances the ongoing expansion of Southern‰Ûªs science programs and the university‰Ûªs capacity to educate more students in the STEM disciplines ‰ÛÒ science, technology, engineering and mathematics.",http://southernct.edu/about/construction/new-science-building.html,,-72.94575334,41.33452066
